16:22:13:881 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! checks=Элемент с тем же ключом уже был добавлен.
16:22:13:940 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! CI=Элемент с тем же ключом уже был добавлен.
16:22:13:940 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! keyson=Элемент с тем же ключом уже был добавлен.
16:22:13:940 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! keysoff=Элемент с тем же ключом уже был добавлен.
16:22:13:957 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! ledon=Элемент с тем же ключом уже был добавлен.
16:22:13:957 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! ledoff=Элемент с тем же ключом уже был добавлен.
16:22:13:957 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! sw=Элемент с тем же ключом уже был добавлен.
16:22:13:982 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! checks=Элемент с тем же ключом уже был добавлен.
16:22:13:990 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! atv=Элемент с тем же ключом уже был добавлен.
16:22:13:990 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! dtv=Элемент с тем же ключом уже был добавлен.
16:22:14:003 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! dvbc=Элемент с тем же ключом уже был добавлен.
16:22:14:003 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! dvbt=Элемент с тем же ключом уже был добавлен.
16:22:14:028 |Info| thread 1| TVSender.Form1.AddCreatedOperation |758  Дубликат! checks=Элемент с тем же ключом уже был добавлен.
16:22:32:999 |Trace| thread 1| TVSender.Ex.Try |64  Значение не может быть неопределенным.
Имя параметра: path
16:22:32:999 |Trace| thread 1| TVSender.Code.ClosePorts |92  ClosePorts()
